,(1),(2),(3),(4),(5)
,edu_s,edu,marry_y,p_y,lninc
,,,,,
,,,,,
self,-0.013***,0.001,-0.008***,-0.004***,-0.003
,(0.003),(0.003),(0.002),(0.001),(0.002)
,,,,,
spouse,0.008***,0.000,0.003**,0.002**,0.002
,(0.002),(0.002),(0.001),(0.001),(0.001)
,,,,,
co,0.006**,0.002,0.000,0.004***,0.002
,(0.002),(0.002),(0.001),(0.001),(0.002)
,,,,,
other,0.001,-0.001,0.002*,0.001*,-0.001
,(0.001),(0.001),(0.001),(0.001),(0.001)
,,,,,
parent,-0.002,-0.001,0.003**,-0.004***,-0.000
,(0.001),(0.002),(0.001),(0.000),(0.001)
,,,,,
N,2664,2664,2664,2664,2664
,,,,,
Standard errors in parentheses,,,,,
"=""* p<0.05", ** p<0.01," *** p<0.001""",,,